date,duration,distance
2015-06-20_00-00-00,1800,5624
2015-06-28_00-00-00,900,3108
2015-06-28_00-00-00,900,3026
2015-06-29_00-00-00,1800,6526
2015-07-06_00-00-00,1800,6532
2015-07-14_00-00-00,1680,5476
2015-07-17_00-00-00,2100,7779
2015-07-19_00-00-00,1800,6498
2015-07-21_00-00-00,1800,6790
2015-07-23_00-00-00,1800,6785
2015-07-28_00-00-00,1800,6731
2015-08-02_00-00-00,1320,6849
2015-08-07_17-30-12,621,2402
2015-08-07_17-49-10,322,1277
2015-08-07_18-57-12,619,2605
2015-08-09_17-20-50,1210,4681
