date,duration,distance,average
2015-06-20_00-00-00,1800,5624,187.466
2015-06-28_00-00-00,900,3108,207.20
2015-06-28_00-10-00,900,3026,201.73
2015-06-29_00-00-00,1800,6526,217.53
2015-07-06_00-00-00,1800,6532,217.73
2015-07-14_00-00-00,1680,5476,195.57
2015-07-17_00-00-00,2100,7779,222.26
2015-07-19_00-00-00,1800,6498,216.60
2015-07-21_00-00-00,1800,6790,226.33
2015-07-23_00-00-00,1800,6785,226.17
2015-07-28_00-00-00,1800,6731,224.37
2015-08-02_00-00-00,1320,6849,311.32
2015-08-07_17-30-12,621,2402,232.077
2015-08-07_17-49-10,322,1277,237.950
2015-08-07_18-57-12,619,2605,252.50
2015-08-09_17-20-50,1210,4681,232.11
